index,Date,week,Relevance,occurrences_rolling,occurrences_lead1,occurrences_lead2,occurrences_lead3,FTSE100,FTSEALL
2160,1999-12-01,309,1.0,0.6666666666666666,0.0,2.0,3.0,6645.97,3105.56
2161,1999-12-02,309,0.0,0.6666666666666666,2.0,3.0,1.0,6653.67,3112.76
2162,1999-12-03,309,2.0,1.0,3.0,1.0,1.0,6742.17,3154.15
2165,1999-12-06,310,1.0,1.6666666666666667,1.0,1.0,1.0,6694.01,3135.32
2166,1999-12-07,310,1.0,1.0,1.0,1.0,1.0,6660.92,3121.28
2167,1999-12-08,310,1.0,1.0,1.0,1.0,1.0,6619.38,3104.41
2168,1999-12-09,310,1.0,1.0,1.0,1.0,2.0,6680.84,3126.71
2169,1999-12-10,310,1.0,1.0,1.0,2.0,0.0,6739.52,3153.69
2172,1999-12-13,311,0.0,1.0,1.0,1.0,0.0,6710.71,3141.73
2173,1999-12-14,311,1.0,1.0,1.0,0.0,2.0,6702.08,3139.02
2174,1999-12-15,311,1.0,0.6666666666666666,0.0,2.0,3.0,6633.82,3107.82
2175,1999-12-16,311,0.0,0.6666666666666666,2.0,3.0,1.0,6671.98,3125.08
2176,1999-12-17,311,2.0,1.0,3.0,1.0,0.0,6724.58,3150.24
2179,1999-12-20,312,0.0,1.3333333333333333,2.0,8.0,4.0,6731.19,3153.76
2180,1999-12-21,312,2.0,1.0,8.0,4.0,1.0,6707.5,3145.73
2181,1999-12-22,312,8.0,3.3333333333333335,4.0,1.0,0.0,6728.65,3157.14
2182,1999-12-23,312,4.0,4.666666666666667,1.0,0.0,0.0,6776.81,3177.01
2183,1999-12-24,312,1.0,4.333333333333333,0.0,0.0,0.0,6806.51,3189.42
2188,1999-12-29,313,0.0,0.0,0.0,1.0,,6835.91,3203.21
2189,1999-12-30,313,0.0,0.0,1.0,,,6930.2,3242.06
