index,Date,week,Relevance,occurrences_rolling,occurrences_lead1,occurrences_lead2,occurrences_lead3,FTSE100,FTSEALL
975,1996-09-02,140,2.0,1.0,1.0,1.0,0.0,3884.4,1922.02
976,1996-09-03,140,1.0,1.3333333333333333,1.0,0.0,0.0,3855.9,1908.89
977,1996-09-04,140,1.0,1.3333333333333333,0.0,0.0,6.0,3872.7,1917.11
978,1996-09-05,140,0.0,0.6666666666666666,0.0,6.0,2.0,3887.2,1922.55
979,1996-09-06,140,0.0,0.3333333333333333,6.0,2.0,0.0,3893.0,1924.38
982,1996-09-09,141,0.0,2.6666666666666665,0.0,0.0,2.0,3910.8,1932.67
983,1996-09-10,141,0.0,0.6666666666666666,0.0,2.0,1.0,3916.1,1936.02
984,1996-09-11,141,0.0,0.0,2.0,1.0,1.0,3905.6,1930.82
985,1996-09-12,141,2.0,0.6666666666666666,1.0,1.0,3.0,3932.6,1941.9
986,1996-09-13,141,1.0,1.0,1.0,3.0,0.0,3967.9,1956.76
989,1996-09-16,142,0.0,1.3333333333333333,0.0,1.0,0.0,3977.2,1961.01
990,1996-09-17,142,0.0,1.0,1.0,0.0,1.0,3972.3,1958.22
991,1996-09-18,142,1.0,0.3333333333333333,0.0,1.0,0.0,3955.7,1950.79
992,1996-09-19,142,0.0,0.3333333333333333,1.0,0.0,1.0,3974.3,1957.02
993,1996-09-20,142,1.0,0.6666666666666666,0.0,1.0,0.0,3964.1,1953.44
996,1996-09-23,143,0.0,0.3333333333333333,1.0,0.0,2.0,3919.7,1934.02
997,1996-09-24,143,1.0,0.6666666666666666,0.0,2.0,1.0,3910.5,1929.88
998,1996-09-25,143,0.0,0.3333333333333333,2.0,1.0,2.0,3935.7,1940.13
999,1996-09-26,143,2.0,1.0,1.0,2.0,1.0,3933.2,1939.2
1000,1996-09-27,143,1.0,1.0,2.0,1.0,1.0,3946.4,1943.93
1003,1996-09-30,144,1.0,1.3333333333333333,12.0,6.0,3.0,3953.7,1945.0
1004,1996-10-01,144,12.0,4.666666666666667,6.0,3.0,3.0,3992.2,1960.67
1005,1996-10-02,144,6.0,6.333333333333333,3.0,3.0,3.0,4015.1,1971.32
1006,1996-10-03,144,3.0,7.0,3.0,3.0,5.0,4000.0,1965.75
1007,1996-10-04,144,3.0,4.0,3.0,5.0,8.0,4024.8,1975.27
1010,1996-10-07,145,8.0,5.333333333333333,2.0,3.0,4.0,4031.5,1978.05
1011,1996-10-08,145,2.0,5.0,3.0,4.0,1.0,4035.6,1978.82
1012,1996-10-09,145,3.0,4.333333333333333,4.0,1.0,0.0,4009.3,1969.07
1013,1996-10-10,145,4.0,3.0,1.0,0.0,4.0,3994.7,1963.89
1014,1996-10-11,145,1.0,2.6666666666666665,0.0,4.0,1.0,4028.1,1976.98
1017,1996-10-14,146,1.0,1.6666666666666667,1.0,3.0,3.0,4038.7,1980.98
1018,1996-10-15,146,1.0,2.0,3.0,3.0,3.0,4050.8,1986.18
1019,1996-10-16,146,3.0,1.6666666666666667,3.0,3.0,1.0,4024.4,1975.89
1020,1996-10-17,146,3.0,2.3333333333333335,3.0,1.0,2.0,4042.1,1982.94
1021,1996-10-18,146,3.0,3.0,1.0,2.0,0.0,4053.1,1987.45
1024,1996-10-21,147,0.0,1.0,1.0,0.0,1.0,4073.1,1994.54
1025,1996-10-22,147,1.0,1.0,0.0,1.0,2.0,4057.2,1989.0
1026,1996-10-23,147,0.0,0.3333333333333333,1.0,2.0,3.0,4028.4,1976.34
1027,1996-10-24,147,1.0,0.6666666666666666,2.0,3.0,0.0,3999.4,1965.25
1028,1996-10-25,147,2.0,1.0,3.0,0.0,0.0,4022.4,1973.9
1031,1996-10-28,148,0.0,1.0,3.0,3.0,3.0,4025.3,1975.88
1032,1996-10-29,148,3.0,1.0,3.0,3.0,6.0,3993.5,1963.5
1033,1996-10-30,148,3.0,2.0,3.0,6.0,0.0,3963.9,1952.02
1034,1996-10-31,148,3.0,3.0,6.0,0.0,1.0,3979.1,1956.9
1035,1996-11-01,148,6.0,4.0,0.0,1.0,1.0,3948.5,1946.55
1038,1996-11-04,149,1.0,0.6666666666666666,2.0,0.0,1.0,3928.1,1938.07
1039,1996-11-05,149,2.0,1.3333333333333333,0.0,1.0,2.0,3921.1,1934.2
1040,1996-11-06,149,0.0,1.0,1.0,2.0,0.0,3935.7,1940.28
1041,1996-11-07,149,1.0,1.0,2.0,0.0,1.0,3900.4,1925.79
1042,1996-11-08,149,2.0,1.0,0.0,1.0,9.0,3910.8,1929.51
1045,1996-11-11,150,9.0,3.3333333333333335,2.0,3.0,4.0,3914.4,1930.89
1046,1996-11-12,150,2.0,4.0,3.0,4.0,0.0,3934.3,1938.79
1047,1996-11-13,150,3.0,4.666666666666667,4.0,0.0,0.0,3926.9,1936.77
1048,1996-11-14,150,4.0,3.0,0.0,0.0,4.0,3926.1,1935.55
1049,1996-11-15,150,0.0,2.3333333333333335,0.0,4.0,1.0,3958.2,1948.15
1052,1996-11-18,151,1.0,1.6666666666666667,1.0,2.0,3.0,3962.1,1948.57
1053,1996-11-19,151,1.0,2.0,2.0,3.0,0.0,3978.1,1954.08
1054,1996-11-20,151,2.0,1.3333333333333333,3.0,0.0,1.0,3962.8,1948.57
1055,1996-11-21,151,3.0,2.0,0.0,1.0,2.0,3953.8,1945.1
1056,1996-11-22,151,0.0,1.6666666666666667,1.0,2.0,3.0,4018.7,1969.77
1059,1996-11-25,152,3.0,2.0,0.0,0.0,2.0,4054.6,1983.72
1060,1996-11-26,152,0.0,1.6666666666666667,0.0,2.0,0.0,4068.4,1988.83
1061,1996-11-27,152,0.0,1.0,2.0,0.0,2.0,4049.2,1980.62
1062,1996-11-28,152,2.0,0.6666666666666666,0.0,2.0,2.0,4050.2,1981.13
1063,1996-11-29,152,0.0,0.6666666666666666,2.0,2.0,0.0,4058.0,1985.17
