Date,Open,High,Low,Close
12/30/2022,"4,107.39","4,107.48","4,075.13","4,075.13"
12/29/2022,"4,096.54","4,108.84","4,064.26","4,107.39"
12/28/2022,"4,083.66","4,119.97","4,083.65","4,096.54"
12/27/2022,"4,083.66","4,083.66","4,083.66","4,083.66"
12/26/2022,"4,083.66","4,083.66","4,083.66","4,083.66"
12/23/2022,"4,079.25","4,095.38","4,075.36","4,083.66"
12/22/2022,"4,095.42","4,117.32","4,075.86","4,079.25"
12/21/2022,"4,026.91","4,095.95","4,026.23","4,095.42"
12/20/2022,"4,025.87","4,037.92","3,992.88","4,026.91"
12/19/2022,"4,010.49","4,039.09","4,010.49","4,025.87"
12/16/2022,"4,063.59","4,063.83","3,995.73","4,010.49"
12/15/2022,"4,100.26","4,100.26","4,055.16","4,063.59"
12/14/2022,"4,105.09","4,105.09","4,083.34","4,100.26"
12/13/2022,"4,070.00","4,134.30","4,061.70","4,105.09"
12/12/2022,"4,087.39","4,087.39","4,065.09","4,070.00"
12/09/2022,"4,082.24","4,095.85","4,062.49","4,087.39"
12/08/2022,"4,093.68","4,102.70","4,082.24","4,082.24"
12/07/2022,"4,114.48","4,134.92","4,093.68","4,093.68"
12/06/2022,"4,143.21","4,143.25","4,114.48","4,114.48"
12/05/2022,"4,138.81","4,158.73","4,134.72","4,143.21"
12/02/2022,"4,141.04","4,147.76","4,113.40","4,138.81"
12/01/2022,"4,139.65","4,158.14","4,137.19","4,141.04"
11/30/2022,"4,112.30","4,153.49","4,112.30","4,139.65"
11/29/2022,"4,098.49","4,132.21","4,098.47","4,112.30"
11/28/2022,"4,112.31","4,112.32","4,077.80","4,098.49"
11/25/2022,"4,102.66","4,114.21","4,095.94","4,112.31"
11/24/2022,"4,100.46","4,114.39","4,092.05","4,102.66"
11/23/2022,"4,092.33","4,114.37","4,090.70","4,100.46"
11/22/2022,"4,057.01","4,095.45","4,056.17","4,092.33"
11/21/2022,"4,056.59","4,068.03","4,034.85","4,057.01"
11/18/2022,"4,033.92","4,072.66","4,032.54","4,056.59"
11/17/2022,"4,035.87","4,037.10","4,007.75","4,033.92"
11/16/2022,"4,055.88","4,066.18","4,028.86","4,035.87"
11/15/2022,"4,067.93","4,080.89","4,044.18","4,055.88"
11/14/2022,"4,036.84","4,080.93","4,036.59","4,067.93"
11/11/2022,"4,054.69","4,077.56","4,036.67","4,036.84"
11/10/2022,"3,994.13","4,062.25","3,973.48","4,054.69"
11/09/2022,"4,000.38","4,000.38","3,976.37","3,994.13"
11/08/2022,"3,993.09","4,003.42","3,965.64","4,000.38"
11/07/2022,"4,001.84","4,011.24","3,979.51","3,993.09"
11/04/2022,"3,926.87","4,022.41","3,926.86","4,001.84"
11/03/2022,"3,910.01","3,926.87","3,873.03","3,926.87"
11/01/2022,"3,876.48","3,949.30","3,876.47","3,928.75"
10/31/2022,"3,855.75","3,895.29","3,847.36","3,876.48"
10/28/2022,"3,873.27","3,873.27","3,830.50","3,855.75"
10/27/2022,"3,866.01","3,884.50","3,854.72","3,873.27"
10/26/2022,"3,837.27","3,866.33","3,816.67","3,866.01"
10/25/2022,"3,820.96","3,838.28","3,794.67","3,837.27"
10/24/2022,"3,796.89","3,838.54","3,772.41","3,820.96"
10/21/2022,"3,790.95","3,801.30","3,743.29","3,796.89"
10/20/2022,"3,777.93","3,797.46","3,761.70","3,790.95"
10/19/2022,"3,792.79","3,807.59","3,764.52","3,777.93"
10/18/2022,"3,784.45","3,834.63","3,784.45","3,792.79"
10/17/2022,"3,740.85","3,802.08","3,737.82","3,784.45"
10/14/2022,"3,732.93","3,804.42","3,732.93","3,740.85"
10/13/2022,"3,712.50","3,748.02","3,655.55","3,732.93"
10/12/2022,"3,749.50","3,762.84","3,698.98","3,712.50"
10/11/2022,"3,791.94","3,791.97","3,739.97","3,749.50"
10/10/2022,"3,814.26","3,814.26","3,777.08","3,791.94"
10/07/2022,"3,826.39","3,835.43","3,798.95","3,814.26"
10/06/2022,"3,848.67","3,865.05","3,806.76","3,826.39"
10/05/2022,"3,873.21","3,873.21","3,815.39","3,848.67"
10/04/2022,"3,773.80","3,873.57","3,773.76","3,873.21"
10/03/2022,"3,763.48","3,780.04","3,712.81","3,773.80"
09/30/2022,"3,745.11","3,787.53","3,732.90","3,763.48"
09/29/2022,"3,820.23","3,820.26","3,716.94","3,745.11"
09/28/2022,"3,810.44","3,821.40","3,726.44","3,820.23"
09/27/2022,"3,841.45","3,869.98","3,810.44","3,810.44"
09/26/2022,"3,848.68","3,870.79","3,801.74","3,841.45"
09/23/2022,"3,924.91","3,929.34","3,830.45","3,848.68"
09/22/2022,"3,973.75","3,973.75","3,921.06","3,924.91"
09/21/2022,"3,947.56","3,981.15","3,936.19","3,973.75"
09/20/2022,"3,976.66","4,018.84","3,936.17","3,947.56"
09/19/2022,"3,976.66","3,976.66","3,976.66","3,976.66"
09/16/2022,"4,000.33","4,004.98","3,976.04","3,976.66"
09/15/2022,"3,996.83","4,023.43","3,987.94","4,000.33"
09/14/2022,"4,056.12","4,056.12","3,987.85","3,996.83"
09/13/2022,"4,108.19","4,129.41","4,056.12","4,056.12"
09/12/2022,"4,041.45","4,111.36","4,041.45","4,108.19"
09/09/2022,"3,990.56","4,055.22","3,990.56","4,041.46"
09/08/2022,"3,976.83","3,995.89","3,944.33","3,990.56"
09/07/2022,"4,005.61","4,005.61","3,950.81","3,976.83"
09/06/2022,"3,993.66","4,019.18","3,982.61","4,005.61"
09/05/2022,"3,998.48","3,998.48","3,948.53","3,993.66"
09/02/2022,"3,926.25","4,001.69","3,926.17","3,998.48"
09/01/2022,"4,007.46","4,007.46","3,919.16","3,926.25"
08/31/2022,"4,045.21","4,053.35","3,996.22","4,007.46"
08/30/2022,"4,076.32","4,106.34","4,039.03","4,045.21"
08/29/2022,"4,076.32","4,076.32","4,076.32","4,076.32"
08/26/2022,"4,103.35","4,129.27","4,074.21","4,076.32"
08/25/2022,"4,100.82","4,131.36","4,098.20","4,103.35"
08/24/2022,"4,108.39","4,108.39","4,068.34","4,100.82"
08/23/2022,"4,136.51","4,136.51","4,098.90","4,108.39"
08/22/2022,"4,157.78","4,157.96","4,120.82","4,136.51"
08/19/2022,"4,162.11","4,174.94","4,143.40","4,157.79"
08/18/2022,"4,146.49","4,162.11","4,135.95","4,162.11"
08/17/2022,"4,166.38","4,175.33","4,141.30","4,146.49"
08/16/2022,"4,155.09","4,181.21","4,155.09","4,166.38"
08/15/2022,"4,149.90","4,168.81","4,132.53","4,155.09"
08/12/2022,"4,131.26","4,155.45","4,130.41","4,149.90"
08/11/2022,"4,150.68","4,156.46","4,127.50","4,131.26"
08/10/2022,"4,129.39","4,156.80","4,118.59","4,150.68"
08/09/2022,"4,132.82","4,139.57","4,126.35","4,129.39"
08/08/2022,"4,111.51","4,148.70","4,111.41","4,132.82"
08/05/2022,"4,118.32","4,128.01","4,104.37","4,111.51"
