Date,Open,High,Low,Close
08/01/2022,"4,119.04","4,128.89","4,097.44","4,100.09"
07/29/2022,"4,061.26","4,116.99","4,061.25","4,107.01"
07/28/2022,"4,055.16","4,079.44","4,040.69","4,061.26"
07/27/2022,"4,033.75","4,063.77","4,033.75","4,055.16"
07/26/2022,"4,041.31","4,066.86","4,030.59","4,033.75"
07/25/2022,"4,028.28","4,044.80","4,008.33","4,041.31"
07/22/2022,"4,021.50","4,049.73","4,013.97","4,028.28"
07/21/2022,"4,009.11","4,021.50","3,986.07","4,021.50"
07/20/2022,"4,018.64","4,045.04","4,001.43","4,009.11"
07/19/2022,"3,976.51","4,023.70","3,952.42","4,018.64"
07/18/2022,"3,940.87","3,996.57","3,940.87","3,976.51"
07/15/2022,"3,874.73","3,944.47","3,873.92","3,940.87"
07/14/2022,"3,935.82","3,937.03","3,857.64","3,874.73"
07/13/2022,"3,965.15","3,965.18","3,909.38","3,935.82"
07/12/2022,"3,958.92","3,969.31","3,929.97","3,965.15"
07/11/2022,"3,961.28","3,963.97","3,910.13","3,958.92"
07/08/2022,"3,956.98","3,969.30","3,927.26","3,961.27"
07/07/2022,"3,910.80","3,968.21","3,910.80","3,956.98"
07/06/2022,"3,863.91","3,953.79","3,863.85","3,910.80"
07/05/2022,"3,967.61","3,982.05","3,860.23","3,863.91"
07/04/2022,"3,940.03","3,981.72","3,940.01","3,967.61"
07/01/2022,"3,940.90","3,964.90","3,905.76","3,940.03"
06/30/2022,"4,019.53","4,019.53","3,908.45","3,940.90"
06/29/2022,"4,035.24","4,036.35","3,999.11","4,019.53"
06/28/2022,"4,004.24","4,055.97","4,004.24","4,035.24"
06/27/2022,"3,975.06","4,018.19","3,974.80","4,004.23"
06/24/2022,"3,874.68","3,975.76","3,872.68","3,975.07"
06/23/2022,"3,913.28","3,923.01","3,874.68","3,874.68"
06/22/2022,"3,943.98","3,943.98","3,880.01","3,913.28"
06/21/2022,"3,932.64","3,969.63","3,931.61","3,943.98"
06/20/2022,"3,881.92","3,935.40","3,881.92","3,932.64"
06/17/2022,"3,888.27","3,938.54","3,872.84","3,881.92"
06/16/2022,"4,013.14","4,013.14","3,886.60","3,888.27"
06/15/2022,"3,965.54","4,031.86","3,965.39","4,013.14"
06/14/2022,"3,977.61","4,012.92","3,941.72","3,965.54"
06/13/2022,"4,046.16","4,046.16","3,963.19","3,977.61"
06/10/2022,"4,132.16","4,132.17","4,035.99","4,046.16"
06/09/2022,"4,193.56","4,193.56","4,131.44","4,132.16"
06/08/2022,"4,198.60","4,207.87","4,174.43","4,193.26"
06/07/2022,"4,206.23","4,209.33","4,183.42","4,198.60"
06/06/2022,"4,164.00","4,223.42","4,164.00","4,206.23"
06/03/2022,"4,164.00","4,164.00","4,164.00","4,164.00"
06/02/2022,"4,164.00","4,164.00","4,164.00","4,164.00"
06/01/2022,"4,201.96","4,218.72","4,161.96","4,164.00"
05/31/2022,"4,202.96","4,222.54","4,195.12","4,201.96"
05/30/2022,"4,190.21","4,217.10","4,190.21","4,202.96"
05/27/2022,"4,176.59","4,195.72","4,165.98","4,190.21"
05/26/2022,"4,147.08","4,181.65","4,144.29","4,176.59"
05/25/2022,"4,126.79","4,158.21","4,126.79","4,147.08"
05/24/2022,"4,150.28","4,150.28","4,107.05","4,126.79"
05/23/2022,"4,083.84","4,150.28","4,083.82","4,150.28"
05/20/2022,"4,038.94","4,118.49","4,038.88","4,083.84"
05/19/2022,"4,110.49","4,110.49","3,996.37","4,038.94"
05/18/2022,"4,149.88","4,158.86","4,110.49","4,110.49"
05/17/2022,"4,120.34","4,161.18","4,120.34","4,149.88"
05/16/2022,"4,099.06","4,120.34","4,069.46","4,120.34"
05/13/2022,"3,999.79","4,099.29","3,999.79","4,099.06"
05/12/2022,"4,058.67","4,058.67","3,958.84","3,999.79"
05/11/2022,"4,002.22","4,060.66","4,002.22","4,058.67"
05/10/2022,"3,987.87","4,039.71","3,987.87","4,002.22"
05/09/2022,"4,083.36","4,083.36","3,987.87","3,987.87"
05/06/2022,"4,145.57","4,145.58","4,063.97","4,083.36"
05/05/2022,"4,146.05","4,213.61","4,142.37","4,145.57"
05/04/2022,"4,186.77","4,193.22","4,146.05","4,146.05"
05/03/2022,"4,185.12","4,187.10","4,150.43","4,186.77"
05/02/2022,"4,185.12","4,185.12","4,185.12","4,185.12"
04/29/2022,"4,165.89","4,200.02","4,165.89","4,185.12"
04/28/2022,"4,121.70","4,172.57","4,121.70","4,165.89"
04/27/2022,"4,105.76","4,139.99","4,081.61","4,121.70"
04/26/2022,"4,106.36","4,147.50","4,104.96","4,105.76"
04/25/2022,"4,180.65","4,180.65","4,082.88","4,106.36"
04/22/2022,"4,238.12","4,238.12","4,180.65","4,180.65"
04/21/2022,"4,236.24","4,256.12","4,221.25","4,238.12"
04/20/2022,"4,219.72","4,238.71","4,213.08","4,236.24"
04/19/2022,"4,232.12","4,232.88","4,203.09","4,219.72"
04/18/2022,"4,232.12","4,232.12","4,232.12","4,232.12"
04/15/2022,"4,232.12","4,232.12","4,232.12","4,232.12"
04/14/2022,"4,211.90","4,233.64","4,198.10","4,232.12"
04/13/2022,"4,210.28","4,218.07","4,197.13","4,211.90"
04/12/2022,"4,232.53","4,232.56","4,193.19","4,210.28"
04/11/2022,"4,258.23","4,258.26","4,228.45","4,232.53"
04/08/2022,"4,199.46","4,258.23","4,199.46","4,258.23"
04/07/2022,"4,218.12","4,228.33","4,192.09","4,199.46"
04/06/2022,"4,238.74","4,240.29","4,191.31","4,218.12"
04/05/2022,"4,213.27","4,238.74","4,198.98","4,238.74"
04/04/2022,"4,199.48","4,220.10","4,197.31","4,213.27"
04/01/2022,"4,187.78","4,207.86","4,186.74","4,199.48"
03/31/2022,"4,219.75","4,232.33","4,187.78","4,187.78"
03/30/2022,"4,208.38","4,219.75","4,193.14","4,219.75"
03/29/2022,"4,164.50","4,225.86","4,164.50","4,208.38"
03/28/2022,"4,165.33","4,196.52","4,163.20","4,164.50"
03/25/2022,"4,155.88","4,176.43","4,144.92","4,165.33"
03/24/2022,"4,156.60","4,167.65","4,147.85","4,155.88"
03/23/2022,"4,167.60","4,187.82","4,154.13","4,156.60"
