Date,Open,High,Low,Close
04/03/2023,"4,157.88","4,188.48","4,157.88","4,175.71"
03/31/2023,"4,151.91","4,168.36","4,149.39","4,157.88"
03/30/2023,"4,116.63","4,159.04","4,116.63","4,151.91"
03/29/2023,"4,072.46","4,116.63","4,072.46","4,116.63"
03/28/2023,"4,071.07","4,098.39","4,061.23","4,072.46"
03/27/2023,"4,039.73","4,083.25","4,039.73","4,071.07"
03/24/2023,"4,090.90","4,090.90","4,005.57","4,039.73"
03/23/2023,"4,122.70","4,122.74","4,077.26","4,090.90"
03/22/2023,"4,109.20","4,131.31","4,092.34","4,122.70"
03/21/2023,"4,039.44","4,119.22","4,039.44","4,109.20"
03/20/2023,"4,007.66","4,052.09","3,935.68","4,039.44"
03/17/2023,"4,051.21","4,101.43","3,994.02","4,007.66"
03/16/2023,"4,017.00","4,077.12","4,009.46","4,051.38"
03/15/2023,"4,167.88","4,168.19","4,011.27","4,017.00"
03/14/2023,"4,117.47","4,170.21","4,095.00","4,167.88"
03/13/2023,"4,226.46","4,230.00","4,116.35","4,117.47"
03/10/2023,"4,298.63","4,298.63","4,205.68","4,226.46"
03/09/2023,"4,327.19","4,327.51","4,288.07","4,298.63"
03/08/2023,"4,326.07","4,334.92","4,308.67","4,327.19"
03/07/2023,"4,334.66","4,348.90","4,321.91","4,326.07"
03/06/2023,"4,338.33","4,339.75","4,315.99","4,334.66"
03/03/2023,"4,334.01","4,350.29","4,325.03","4,338.33"
03/02/2023,"4,321.10","4,335.51","4,301.86","4,334.01"
03/01/2023,"4,303.95","4,340.95","4,302.92","4,321.10"
02/28/2023,"4,331.26","4,331.26","4,291.32","4,304.48"
02/27/2023,"4,299.29","4,336.40","4,299.29","4,331.26"
02/24/2023,"4,315.82","4,332.42","4,294.76","4,299.29"
02/23/2023,"4,322.65","4,331.08","4,308.04","4,315.82"
02/22/2023,"4,349.62","4,349.70","4,295.94","4,322.65"
02/21/2023,"4,375.01","4,375.16","4,342.34","4,349.62"
02/20/2023,"4,370.32","4,377.97","4,364.78","4,375.01"
02/17/2023,"4,377.36","4,377.47","4,346.22","4,370.32"
02/16/2023,"4,369.80","4,395.93","4,357.80","4,377.36"
02/15/2023,"4,345.08","4,372.60","4,329.68","4,369.80"
02/14/2023,"4,345.77","4,370.84","4,344.34","4,345.08"
02/13/2023,"4,312.89","4,345.77","4,312.56","4,345.77"
02/10/2023,"4,334.09","4,334.30","4,296.24","4,312.89"
02/09/2023,"4,322.83","4,353.48","4,318.44","4,334.09"
02/08/2023,"4,309.87","4,350.16","4,309.85","4,322.83"
02/07/2023,"4,303.90","4,326.57","4,298.78","4,309.87"
02/06/2023,"4,339.71","4,339.71","4,288.41","4,303.90"
02/03/2023,"4,302.89","4,342.15","4,293.65","4,339.71"
02/02/2023,"4,252.85","4,305.91","4,251.64","4,302.89"
02/01/2023,"4,255.72","4,272.52","4,246.08","4,252.85"
01/31/2023,"4,265.16","4,265.16","4,223.70","4,255.72"
