Date,Open,High,Low,Close
08/01/2023,"4,198.02","4,204.11","4,173.32","4,180.41"
07/31/2023,"4,195.17","4,210.42","4,181.44","4,198.02"
07/28/2023,"4,198.69","4,206.05","4,188.56","4,195.17"
07/27/2023,"4,188.48","4,207.98","4,184.23","4,198.69"
07/26/2023,"4,194.39","4,199.91","4,163.64","4,188.48"
07/25/2023,"4,187.55","4,199.07","4,185.29","4,194.39"
07/24/2023,"4,182.58","4,190.57","4,166.86","4,187.55"
07/21/2023,"4,177.94","4,188.74","4,172.96","4,182.58"
07/20/2023,"4,151.54","4,186.55","4,150.27","4,177.94"
07/19/2023,"4,066.80","4,167.96","4,066.80","4,151.54"
07/18/2023,"4,038.23","4,069.58","4,034.16","4,066.80"
07/17/2023,"4,056.48","4,057.07","4,035.62","4,038.23"
07/14/2023,"4,061.27","4,079.42","4,051.87","4,056.48"
07/13/2023,"4,048.29","4,069.19","4,044.99","4,061.27"
07/12/2023,"3,973.18","4,052.85","3,973.18","4,048.29"
07/11/2023,"3,965.80","3,973.68","3,952.34","3,973.18"
07/10/2023,"3,957.08","3,981.13","3,946.89","3,965.80"
07/07/2023,"3,965.25","3,965.30","3,939.99","3,957.08"
07/06/2023,"4,055.33","4,055.33","3,960.79","3,965.25"
07/05/2023,"4,095.31","4,095.31","4,051.24","4,055.33"
07/04/2023,"4,097.65","4,108.68","4,093.24","4,095.31"
07/03/2023,"4,096.26","4,113.56","4,091.35","4,097.65"
06/30/2023,"4,064.45","4,107.29","4,064.45","4,096.26"
06/29/2023,"4,082.27","4,083.95","4,058.63","4,064.45"
06/28/2023,"4,052.97","4,089.56","4,052.97","4,082.27"
06/27/2023,"4,046.84","4,069.35","4,036.74","4,052.97"
06/23/2023,"4,081.03","4,081.03","4,045.42","4,053.65"
06/22/2023,"4,115.41","4,115.41","4,064.84","4,081.03"
06/21/2023,"4,125.41","4,127.05","4,099.19","4,115.41"
06/20/2023,"4,137.73","4,144.96","4,124.39","4,125.41"
06/19/2023,"4,168.12","4,168.12","4,134.66","4,137.73"
06/16/2023,"4,161.92","4,191.60","4,161.68","4,168.12"
06/15/2023,"4,154.38","4,164.05","4,144.83","4,161.92"
06/14/2023,"4,151.46","4,172.61","4,145.05","4,154.38"
06/13/2023,"4,140.42","4,159.41","4,132.66","4,151.46"
06/12/2023,"4,133.32","4,151.83","4,133.25","4,140.42"
06/09/2023,"4,150.90","4,159.04","4,124.01","4,133.32"
06/08/2023,"4,163.52","4,170.32","4,144.91","4,150.90"
06/07/2023,"4,167.20","4,173.48","4,155.94","4,163.52"
06/06/2023,"4,150.89","4,170.54","4,130.41","4,167.20"
06/05/2023,"4,155.37","4,180.29","4,148.77","4,150.89"
06/02/2023,"4,090.64","4,158.42","4,090.48","4,155.37"
06/01/2023,"4,066.80","4,094.47","4,066.62","4,090.64"
05/31/2023,"4,104.75","4,104.77","4,066.80","4,066.80"
05/30/2023,"4,152.54","4,155.20","4,102.64","4,104.75"
05/29/2023,"4,152.54","4,152.54","4,152.54","4,152.54"
05/26/2023,"4,128.33","4,161.42","4,120.13","4,152.54"
05/25/2023,"4,156.82","4,158.19","4,128.33","4,128.33"
05/24/2023,"4,228.38","4,228.38","4,139.06","4,156.82"
05/23/2023,"4,234.14","4,248.05","4,222.71","4,228.38"
05/22/2023,"4,228.25","4,241.14","4,224.26","4,234.14"
05/19/2023,"4,221.45","4,245.26","4,221.24","4,228.25"
05/18/2023,"4,210.17","4,237.44","4,210.17","4,221.45"
05/17/2023,"4,224.76","4,224.76","4,205.28","4,210.17"
05/16/2023,"4,236.96","4,251.13","4,218.38","4,224.76"
05/15/2023,"4,224.06","4,244.35","4,224.06","4,236.96"
05/12/2023,"4,215.22","4,234.82","4,214.46","4,224.06"
05/11/2023,"4,220.42","4,241.46","4,189.08","4,215.22"
05/10/2023,"4,231.12","4,238.49","4,213.20","4,220.42"
05/09/2023,"4,242.40","4,248.51","4,216.40","4,231.12"
05/08/2023,"4,242.40","4,243.94","4,201.12","4,242.40"
05/05/2023,"4,201.23","4,243.94","4,201.12","4,242.40"
05/04/2023,"4,244.29","4,244.29","4,195.17","4,201.23"
05/03/2023,"4,235.67","4,259.04","4,235.63","4,244.29"
05/02/2023,"4,283.83","4,299.49","4,235.67","4,235.67"
05/01/2023,"4,283.83","4,283.83","4,283.83","4,283.83"
