Date,FTSE100,FTSEALL,Relevance,occurrences_rolling,Relevance_lead1,Relevance_lead2,Relevance_lead3
2022-01-04,7505.15,4276.18,0,0.0,0.0,0.0,0.0
2022-01-05,7516.87,4277.51,0,0.0,0.0,0.0,0.0
2022-01-06,7450.37,4235.63,0,0.0,0.0,0.0,0.0
2022-01-07,7485.28,4249.43,0,0.0,0.0,0.0,0.0
2022-01-10,7445.25,4219.71,0,0.0,0.0,7.0,8.0
2022-01-11,7491.37,4241.88,0,0.0,7.0,8.0,8.0
2022-01-12,7551.72,4270.79,7,2.3333333333333335,8.0,8.0,7.0
2022-01-13,7563.85,4273.23,8,5.0,8.0,7.0,9.0
2022-01-14,7542.95,4256.59,8,7.666666666666667,7.0,9.0,12.0
2022-01-17,7611.23,4292.58,12,9.333333333333334,14.0,9.0,4.0
2022-01-18,7563.55,4263.04,14,11.666666666666666,9.0,4.0,7.0
2022-01-19,7589.66,4273.79,9,11.666666666666666,4.0,7.0,8.0
2022-01-20,7585.01,4274.52,4,9.0,7.0,8.0,5.0
2022-01-21,7494.13,4217.31,7,6.666666666666667,8.0,5.0,10.0
2022-01-24,7297.15,4099.16,10,7.666666666666667,6.0,12.0,19.0
2022-01-25,7371.46,4139.47,6,7.0,12.0,19.0,11.0
2022-01-26,7469.78,4192.7,12,9.333333333333334,19.0,11.0,10.0
2022-01-27,7554.31,4230.83,19,12.333333333333334,11.0,10.0,9.0
2022-01-28,7466.07,4182.58,11,14.0,10.0,9.0,24.0
2022-01-31,7464.37,4191.81,24,14.333333333333334,18.0,12.0,7.0
2022-02-01,7535.78,4232.48,18,17.0,12.0,7.0,4.0
2022-02-02,7583.0,4257.23,12,18.0,7.0,4.0,6.0
2022-02-03,7528.84,4222.74,7,12.333333333333334,4.0,6.0,0.0
2022-02-04,7516.4,4208.61,4,7.666666666666667,6.0,0.0,4.0
2022-02-07,7573.47,4236.88,4,3.3333333333333335,0.0,13.0,6.0
2022-02-08,7567.07,4233.62,0,1.3333333333333333,13.0,6.0,9.0
2022-02-09,7643.42,4282.76,13,5.666666666666667,6.0,9.0,6.0
2022-02-10,7672.4,4296.96,6,6.333333333333333,9.0,6.0,6.0
2022-02-11,7661.02,4286.38,9,9.333333333333334,6.0,6.0,5.0
2022-02-14,7531.59,4211.74,5,5.666666666666667,10.0,9.0,6.0
2022-02-15,7608.92,4254.78,10,7.0,9.0,6.0,3.0
2022-02-16,7603.78,4251.96,9,8.0,6.0,3.0,6.0
2022-02-17,7537.37,4212.87,6,8.333333333333334,3.0,6.0,3.0
2022-02-18,7513.62,4195.45,3,6.0,6.0,3.0,0.0
2022-02-21,7484.33,4172.09,0,3.0,6.0,24.0,4.0
2022-02-22,7494.21,4172.35,6,3.0,24.0,4.0,6.0
2022-02-23,7498.18,4169.64,24,10.0,4.0,6.0,4.0
