Date,FTSE100,FTSEALL,Relevance,occurrences_rolling,Relevance_lead1,Relevance_lead2,Relevance_lead3
2023-05-02,7773.03,4235.67,0,0.0,0.0,0.0,8.0
2023-05-03,7788.37,4244.29,0,0.0,0.0,8.0,0.0
2023-05-04,7702.64,4201.23,0,0.0,8.0,0.0,0.0
2023-05-05,7778.38,4242.4,8,2.6666666666666665,0.0,0.0,0.0
2023-05-09,7764.09,4231.12,0,0.0,0.0,0.0,0.0
2023-05-10,7741.33,4220.42,0,0.0,0.0,0.0,0.0
2023-05-11,7730.58,4215.22,0,0.0,0.0,0.0,0.0
2023-05-12,7754.62,4224.06,0,0.0,0.0,0.0,0.0
2023-05-15,7777.7,4236.96,0,0.0,0.0,0.0,0.0
2023-05-16,7751.08,4224.76,0,0.0,0.0,0.0,0.0
2023-05-17,7723.23,4210.17,0,0.0,0.0,0.0,0.0
2023-05-18,7742.3,4221.45,0,0.0,0.0,0.0,0.0
2023-05-19,7756.87,4228.25,0,0.0,0.0,0.0,0.0
2023-05-22,7770.99,4234.14,0,0.0,3.0,0.0,0.0
2023-05-23,7762.95,4228.38,3,1.0,0.0,0.0,0.0
2023-05-24,7627.1,4156.82,0,1.0,0.0,0.0,0.0
2023-05-25,7570.87,4128.33,0,1.0,0.0,0.0,0.0
2023-05-26,7627.2,4152.54,0,0.0,0.0,0.0,0.0
2023-05-30,7522.07,4104.75,0,0.0,0.0,0.0,0.0
2023-05-31,7446.14,4066.8,0,0.0,0.0,0.0,0.0
2023-06-01,7490.27,4090.64,0,0.0,0.0,0.0,4.0
2023-06-02,7607.28,4155.37,0,0.0,0.0,4.0,0.0
2023-06-05,7599.99,4150.89,0,1.3333333333333333,0.0,0.0,0.0
2023-06-06,7628.1,4167.2,0,1.3333333333333333,0.0,0.0,14.0
2023-06-07,7624.34,4163.52,0,0.0,0.0,14.0,12.0
2023-06-08,7599.74,4150.9,0,0.0,14.0,12.0,3.0
2023-06-09,7562.36,4133.32,14,4.666666666666667,12.0,3.0,7.0
2023-06-12,7570.69,4140.42,7,7.333333333333333,7.0,4.0,47.0
2023-06-13,7594.78,4151.46,7,5.666666666666667,4.0,47.0,9.0
2023-06-14,7602.74,4154.38,4,6.0,47.0,9.0,21.0
2023-06-15,7628.26,4161.92,47,19.333333333333332,9.0,21.0,100.0
2023-06-16,7642.72,4168.12,9,20.0,21.0,100.0,94.0
2023-06-19,7588.48,4137.73,94,71.66666666666667,56.0,10.0,0.0
2023-06-20,7569.31,4125.41,56,83.33333333333333,10.0,0.0,0.0
2023-06-21,7559.18,4115.41,10,53.333333333333336,0.0,0.0,0.0
2023-06-22,7502.03,4081.03,0,22.0,0.0,0.0,4.0
2023-06-23,7461.87,4053.65,0,3.3333333333333335,0.0,4.0,0.0
2023-06-27,7461.46,4052.97,0,1.3333333333333333,0.0,5.0,0.0
2023-06-28,7500.49,4082.27,0,0.0,5.0,0.0,0.0
2023-06-29,7471.69,4064.45,5,1.6666666666666667,0.0,0.0,0.0
2023-06-30,7531.53,4096.26,0,1.6666666666666667,0.0,0.0,0.0
2023-07-03,7527.26,4097.65,0,0.0,4.0,5.0,0.0
2023-07-04,7519.72,4095.31,4,1.3333333333333333,5.0,0.0,0.0
2023-07-05,7442.1,4055.33,5,3.0,0.0,0.0,0.0
2023-07-06,7280.5,3965.25,0,3.0,0.0,0.0,0.0
2023-07-07,7256.94,3957.08,0,1.6666666666666667,0.0,0.0,0.0
2023-07-10,7273.79,3965.8,0,0.0,0.0,0.0,0.0
2023-07-11,7282.52,3973.18,0,0.0,0.0,0.0,0.0
2023-07-12,7416.11,4048.29,0,0.0,0.0,0.0,0.0
2023-07-13,7440.21,4061.27,0,0.0,0.0,0.0,0.0
2023-07-14,7434.57,4056.48,0,0.0,0.0,0.0,0.0
2023-07-17,7406.42,4038.23,0,0.0,0.0,0.0,0.0
2023-07-18,7453.69,4066.8,0,0.0,0.0,0.0,0.0
2023-07-19,7588.2,4151.54,0,0.0,0.0,0.0,0.0
2023-07-20,7646.05,4177.94,0,0.0,0.0,0.0,0.0
2023-07-21,7663.73,4182.58,0,0.0,0.0,0.0,0.0
2023-07-24,7678.59,4187.55,0,0.0,0.0,0.0,0.0
2023-07-25,7691.8,4194.39,0,0.0,0.0,0.0,0.0
2023-07-26,7676.89,4188.48,0,0.0,0.0,0.0,0.0
2023-07-27,7692.76,4198.69,0,0.0,0.0,0.0,0.0
2023-07-28,7694.27,4195.17,0,0.0,0.0,0.0,0.0
2023-07-31,7699.41,4198.02,0,0.0,0.0,,
2023-08-01,7666.27,4180.41,0,0.0,,,
