Date,FTSE100,FTSEALL,Relevance,occurrences_rolling,Relevance_lead1,Relevance_lead2,Relevance_lead3
2023-01-03,7554.09,4131.41,0,0.0,0.0,0.0,0.0
2023-01-04,7585.19,4154.17,0,0.0,0.0,0.0,0.0
2023-01-05,7633.45,4178.67,0,0.0,0.0,0.0,0.0
2023-01-06,7699.49,4210.58,0,0.0,0.0,0.0,0.0
2023-01-09,7724.94,4221.46,0,0.0,0.0,25.0,15.0
2023-01-10,7694.49,4204.39,0,0.0,25.0,15.0,9.0
2023-01-11,7724.98,4222.94,25,8.333333333333334,15.0,9.0,0.0
2023-01-12,7794.04,4264.75,15,13.333333333333334,9.0,0.0,0.0
2023-01-13,7844.07,4291.44,9,16.333333333333332,0.0,0.0,0.0
2023-01-16,7860.07,4302.91,0,0.0,0.0,0.0,0.0
2023-01-17,7851.03,4294.53,0,0.0,0.0,0.0,0.0
2023-01-18,7830.7,4283.23,0,0.0,0.0,0.0,0.0
2023-01-19,7747.29,4234.86,0,0.0,0.0,0.0,0.0
2023-01-20,7770.59,4250.1,0,0.0,0.0,0.0,0.0
2023-01-23,7784.67,4259.96,0,0.0,0.0,0.0,0.0
2023-01-24,7757.36,4249.4,0,0.0,0.0,0.0,0.0
2023-01-25,7744.87,4241.85,0,0.0,0.0,0.0,0.0
2023-01-26,7761.11,4253.35,0,0.0,0.0,0.0,0.0
2023-01-27,7765.15,4258.97,0,0.0,0.0,0.0,0.0
2023-01-30,7784.87,4265.16,0,0.0,0.0,0.0,0.0
2023-01-31,7771.7,4255.72,0,0.0,0.0,0.0,0.0
2023-02-01,7761.11,4252.85,0,0.0,0.0,0.0,0.0
2023-02-02,7820.16,4302.89,0,0.0,0.0,0.0,0.0
2023-02-03,7901.8,4339.71,0,0.0,0.0,0.0,0.0
2023-02-06,7836.71,4303.9,0,0.0,0.0,0.0,0.0
2023-02-07,7864.71,4309.87,0,0.0,0.0,0.0,0.0
2023-02-08,7885.17,4322.83,0,0.0,0.0,0.0,8.0
2023-02-09,7911.15,4334.09,0,0.0,0.0,8.0,5.0
2023-02-10,7882.45,4312.89,0,0.0,8.0,5.0,0.0
2023-02-13,7947.6,4345.77,0,4.333333333333333,0.0,0.0,0.0
2023-02-14,7953.85,4345.08,0,1.6666666666666667,0.0,0.0,0.0
2023-02-15,7997.83,4369.8,0,0.0,0.0,0.0,0.0
2023-02-16,8012.53,4377.36,0,0.0,0.0,0.0,0.0
2023-02-17,8004.36,4370.32,0,0.0,0.0,0.0,0.0
2023-02-20,8014.31,4375.01,0,0.0,0.0,0.0,0.0
2023-02-21,7977.75,4349.62,0,0.0,0.0,0.0,0.0
2023-02-22,7930.63,4322.65,0,0.0,0.0,0.0,0.0
2023-02-23,7907.72,4315.82,0,0.0,0.0,0.0,0.0
2023-02-24,7878.66,4299.29,0,0.0,0.0,0.0,4.0
2023-02-27,7935.11,4331.26,4,1.3333333333333333,0.0,0.0,0.0
2023-02-28,7876.28,4304.48,0,1.3333333333333333,0.0,0.0,15.0
2023-03-01,7914.93,4321.1,0,1.3333333333333333,0.0,15.0,24.0
2023-03-02,7944.04,4334.01,0,0.0,15.0,24.0,24.0
2023-03-03,7947.11,4338.33,15,5.0,24.0,24.0,4.0
2023-03-06,7929.79,4334.66,4,17.333333333333332,0.0,0.0,0.0
2023-03-07,7919.48,4326.07,0,9.333333333333334,0.0,0.0,0.0
2023-03-08,7929.92,4327.19,0,1.3333333333333333,0.0,0.0,0.0
2023-03-09,7879.98,4298.63,0,0.0,0.0,0.0,0.0
2023-03-10,7748.35,4226.46,0,0.0,0.0,0.0,0.0
2023-03-13,7548.63,4117.47,0,0.0,0.0,0.0,4.0
2023-03-14,7637.11,4167.88,0,0.0,0.0,4.0,0.0
2023-03-15,7344.45,4017.0,0,0.0,4.0,0.0,0.0
2023-03-16,7410.03,4051.38,4,1.3333333333333333,0.0,0.0,6.0
2023-03-17,7335.4,4007.66,0,1.3333333333333333,0.0,6.0,29.0
2023-03-20,7403.85,4039.44,29,11.666666666666666,48.0,100.0,32.0
2023-03-21,7536.22,4109.2,48,27.666666666666668,100.0,32.0,14.0
2023-03-22,7566.84,4122.7,100,59.0,32.0,14.0,0.0
2023-03-23,7499.6,4090.9,32,60.0,14.0,0.0,6.0
2023-03-24,7405.45,4039.73,14,48.666666666666664,0.0,6.0,0.0
2023-03-27,7471.77,4071.07,0,2.0,0.0,0.0,5.0
2023-03-28,7484.25,4072.46,0,2.0,0.0,5.0,0.0
2023-03-29,7564.27,4116.63,0,0.0,5.0,0.0,0.0
2023-03-30,7620.43,4151.91,5,1.6666666666666667,0.0,0.0,
2023-03-31,7631.74,4157.88,0,1.6666666666666667,0.0,,
