Date,Open,High,Low,Close,Volume
"Thursday, December 30, 1999","3,203.62","3,249.03","3,203.62","3,242.06",0
"Wednesday, December 29, 1999","3,189.36","3,211.52","3,188.08","3,203.21",0
"Friday, December 24, 1999","3,177.23","3,192.54","3,176.25","3,189.42",0
"Thursday, December 23, 1999","3,157.40","3,185.88","3,156.39","3,177.01",0
"Wednesday, December 22, 1999","3,146.58","3,165.13","3,142.74","3,157.14",0
"Tuesday, December 21, 1999","3,153.76","3,153.76","3,133.00","3,145.73",0
"Monday, December 20, 1999","3,150.55","3,165.64","3,145.03","3,153.76",0
"Friday, December 17, 1999","3,125.44","3,161.54","3,117.72","3,150.24",0
"Thursday, December 16, 1999","3,107.87","3,137.20","3,107.87","3,125.08",0
"Wednesday, December 15, 1999","3,138.81","3,144.01","3,090.50","3,107.82",0
"Tuesday, December 14, 1999","3,141.70","3,152.19","3,124.43","3,139.02",0
"Monday, December 13, 1999","3,153.81","3,166.40","3,141.73","3,141.73",0
"Friday, December 10, 1999","3,127.14","3,153.72","3,120.37","3,153.69",0
"Thursday, December 09, 1999","3,104.63","3,129.98","3,104.63","3,126.71",0
"Wednesday, December 08, 1999","3,121.30","3,121.30","3,100.42","3,104.41",0
"Tuesday, December 07, 1999","3,134.84","3,149.03","3,121.19","3,121.28",0
"Monday, December 06, 1999","3,154.71","3,163.90","3,121.16","3,135.32",0
"Friday, December 03, 1999","3,113.11","3,162.40","3,112.68","3,154.15",0
"Thursday, December 02, 1999","3,105.84","3,126.12","3,098.20","3,112.76",0
"Wednesday, December 01, 1999","3,086.55","3,108.98","3,077.01","3,105.56",0
"Tuesday, November 30, 1999","3,124.80","3,124.84","3,083.54","3,086.90",0
"Monday, November 29, 1999","3,119.43","3,150.25","3,111.44","3,124.51",0
"Friday, November 26, 1999","3,116.22","3,138.61","3,107.33","3,119.07",0
"Thursday, November 25, 1999","3,066.86","3,117.07","3,066.84","3,115.99",0
"Wednesday, November 24, 1999","3,056.57","3,069.33","3,040.81","3,066.71",0
"Tuesday, November 23, 1999","3,020.22","3,063.06","3,014.23","3,056.91",0
"Monday, November 22, 1999","3,034.21","3,066.71","3,013.63","3,020.23",0
"Friday, November 19, 1999","3,059.84","3,078.05","3,023.74","3,033.78",0
"Thursday, November 18, 1999","3,058.70","3,073.63","3,046.18","3,059.30",0
"Wednesday, November 17, 1999","3,066.12","3,083.68","3,050.62","3,058.66",0
"Tuesday, November 16, 1999","3,044.24","3,070.31","3,039.98","3,065.25",0
"Monday, November 15, 1999","3,030.80","3,056.83","3,026.94","3,043.96",0
"Friday, November 12, 1999","3,042.46","3,066.20","3,020.54","3,030.20",0
"Thursday, November 11, 1999","2,998.09","3,042.26","2,998.09","3,041.97",0
"Wednesday, November 10, 1999","2,991.87","3,007.86","2,986.25","2,998.06",0
"Tuesday, November 09, 1999","2,966.78","3,010.88","2,966.78","2,991.81",0
"Monday, November 08, 1999","2,960.09","2,975.36","2,952.62","2,966.56",0
"Friday, November 05, 1999","2,948.17","2,975.62","2,938.99","2,959.97",0
"Thursday, November 04, 1999","2,922.59","2,955.86","2,922.54","2,947.75",0
"Wednesday, November 03, 1999","2,907.26","2,928.12","2,899.93","2,922.16",0
"Tuesday, November 02, 1999","2,916.91","2,916.91","2,897.53","2,907.09",0
"Monday, November 01, 1999","2,904.53","2,922.11","2,897.65","2,916.79",0
"Friday, October 29, 1999","2,859.93","2,910.61","2,859.60","2,904.38",0
"Thursday, October 28, 1999","2,818.30","2,865.72","2,798.19","2,859.46",0
"Wednesday, October 27, 1999","2,836.94","2,836.94","2,808.20","2,818.21",0
"Tuesday, October 26, 1999","2,804.07","2,837.63","2,798.57","2,837.05",0
"Monday, October 25, 1999","2,822.17","2,843.31","2,798.76","2,804.21",0
"Friday, October 22, 1999","2,775.43","2,822.48","2,775.43","2,822.01",0
