Date,Open,High,Low,Close,Volume
"Wednesday, December 31, 1997","2,408.38","2,426.90","2,408.38","2,411.00",0
"Tuesday, December 30, 1997","2,397.63","2,411.69","2,397.63","2,407.74",0
"Monday, December 29, 1997","2,358.42","2,396.78","2,356.73","2,396.74",0
"Wednesday, December 24, 1997","2,371.30","2,371.30","2,354.87","2,358.07",0
"Tuesday, December 23, 1997","2,360.07","2,373.67","2,359.68","2,371.69",0
"Monday, December 22, 1997","2,360.49","2,370.96","2,355.29","2,360.10",0
"Friday, December 19, 1997","2,415.84","2,415.84","2,348.92","2,361.28",0
"Thursday, December 18, 1997","2,426.68","2,436.70","2,410.30","2,417.28",0
"Wednesday, December 17, 1997","2,431.88","2,447.96","2,424.30","2,427.06",0
"Tuesday, December 16, 1997","2,403.24","2,434.04","2,403.03","2,431.52",0
"Monday, December 15, 1997","2,375.49","2,403.11","2,375.49","2,403.11",0
"Friday, December 12, 1997","2,371.14","2,383.47","2,370.74","2,375.46",0
"Thursday, December 11, 1997","2,406.12","2,406.12","2,359.34","2,371.64",0
"Wednesday, December 10, 1997","2,424.35","2,424.35","2,395.89","2,407.16",0
"Tuesday, December 09, 1997","2,428.61","2,432.64","2,416.76","2,424.81",0
"Monday, December 08, 1997","2,409.85","2,440.46","2,409.84","2,428.34",0
"Friday, December 05, 1997","2,385.41","2,421.83","2,374.56","2,409.33",0
"Thursday, December 04, 1997","2,342.19","2,385.05","2,342.19","2,385.05",0
"Wednesday, December 03, 1997","2,342.12","2,346.29","2,333.29","2,341.65",0
"Tuesday, December 02, 1997","2,321.39","2,342.45","2,320.54","2,341.68",0
"Monday, December 01, 1997","2,288.55","2,324.30","2,288.55","2,320.76",0
"Friday, November 28, 1997","2,309.08","2,309.38","2,288.64","2,288.64",0
"Thursday, November 27, 1997","2,309.08","2,317.29","2,305.94","2,308.97",0
"Wednesday, November 26, 1997","2,297.27","2,314.14","2,297.16","2,308.90",0
"Tuesday, November 25, 1997","2,310.08","2,316.49","2,293.81","2,296.88",0
"Monday, November 24, 1997","2,344.52","2,344.52","2,306.77","2,310.99",0
"Friday, November 21, 1997","2,315.49","2,344.62","2,315.49","2,344.62",0
"Thursday, November 20, 1997","2,286.09","2,319.22","2,284.74","2,314.73",0
"Wednesday, November 19, 1997","2,290.65","2,293.05","2,270.79","2,285.91",0
"Tuesday, November 18, 1997","2,299.80","2,299.80","2,285.37","2,290.99",0
"Monday, November 17, 1997","2,252.68","2,306.22","2,252.68","2,299.43",0
"Friday, November 14, 1997","2,239.01","2,271.92","2,239.01","2,251.34",0
"Thursday, November 13, 1997","2,243.29","2,250.01","2,233.67","2,238.43",0
"Wednesday, November 12, 1997","2,274.50","2,274.50","2,230.29","2,243.58",0
