Date,Open,High,Low,Close
12/31/1996,"4,118.50","4,118.50","4,118.50","4,118.50"
12/30/1996,"4,115.70","4,115.70","4,115.70","4,115.70"
12/27/1996,"4,091.00","4,091.00","4,091.00","4,091.00"
12/24/1996,"4,092.50","4,092.50","4,092.50","4,092.50"
12/23/1996,"4,087.20","4,087.20","4,087.20","4,087.20"
12/20/1996,"4,077.60","4,077.60","4,077.60","4,077.60"
12/19/1996,"4,051.30","4,051.30","4,051.30","4,051.30"
12/18/1996,"4,018.20","4,018.20","4,018.20","4,018.20"
12/17/1996,"3,979.60","3,979.60","3,979.60","3,979.60"
12/16/1996,"3,993.80","3,993.80","3,993.80","3,993.80"
12/13/1996,"3,972.40","3,972.40","3,972.40","3,972.40"
12/12/1996,"3,990.70","3,990.70","3,990.70","3,990.70"
12/11/1996,"3,982.50","3,982.50","3,982.50","3,982.50"
12/10/1996,"4,035.70","4,035.70","4,035.70","4,035.70"
12/09/1996,"4,011.60","4,011.60","4,011.60","4,011.60"
12/06/1996,"3,963.00","3,963.00","3,963.00","3,963.00"
12/05/1996,"4,051.20","4,051.20","4,051.20","4,051.20"
12/04/1996,"4,045.20","4,045.20","4,045.20","4,045.20"
12/03/1996,"4,061.50","4,061.50","4,061.50","4,061.50"
12/02/1996,"4,038.50","4,038.50","4,038.50","4,038.50"
11/29/1996,"4,058.00","4,058.00","4,058.00","4,058.00"
11/28/1996,"4,050.20","4,050.20","4,050.20","4,050.20"
11/27/1996,"4,049.20","4,049.20","4,049.20","4,049.20"
11/26/1996,"4,068.40","4,068.40","4,068.40","4,068.40"
11/25/1996,"4,054.60","4,054.60","4,054.60","4,054.60"
11/22/1996,"4,018.70","4,018.70","4,018.70","4,018.70"
11/21/1996,"3,953.80","3,953.80","3,953.80","3,953.80"
11/20/1996,"3,962.80","3,962.80","3,962.80","3,962.80"
11/19/1996,"3,978.10","3,978.10","3,978.10","3,978.10"
11/18/1996,"3,962.10","3,962.10","3,962.10","3,962.10"
11/15/1996,"3,958.20","3,958.20","3,958.20","3,958.20"
11/14/1996,"3,926.10","3,926.10","3,926.10","3,926.10"
11/13/1996,"3,926.90","3,926.90","3,926.90","3,926.90"
11/12/1996,"3,934.30","3,934.30","3,934.30","3,934.30"
11/11/1996,"3,914.40","3,914.40","3,914.40","3,914.40"
11/08/1996,"3,910.80","3,910.80","3,910.80","3,910.80"
11/07/1996,"3,900.40","3,900.40","3,900.40","3,900.40"
11/06/1996,"3,935.70","3,935.70","3,935.70","3,935.70"
11/05/1996,"3,921.10","3,921.10","3,921.10","3,921.10"
11/04/1996,"3,928.10","3,928.10","3,928.10","3,928.10"
