Date,Open,High,Low,Close,Volume
"Friday, December 29, 1995","1,803.09","1,803.09","1,803.09","1,803.09",0
"Thursday, December 28, 1995","1,797.19","1,797.19","1,797.19","1,797.19",0
"Wednesday, December 27, 1995","1,796.23","1,796.23","1,796.23","1,796.23",0
"Friday, December 22, 1995","1,788.21","1,788.21","1,788.21","1,788.21",0
"Thursday, December 21, 1995","1,777.43","1,777.43","1,777.43","1,777.43",0
"Wednesday, December 20, 1995","1,769.71","1,769.71","1,769.71","1,769.71",0
"Tuesday, December 19, 1995","1,754.28","1,754.28","1,754.28","1,754.28",0
"Monday, December 18, 1995","1,763.33","1,763.33","1,763.33","1,763.33",0
"Friday, December 15, 1995","1,780.85","1,780.85","1,780.85","1,780.85",0
"Thursday, December 14, 1995","1,791.24","1,791.24","1,791.24","1,791.24",0
"Wednesday, December 13, 1995","1,786.09","1,786.09","1,786.09","1,786.09",0
"Tuesday, December 12, 1995","1,782.69","1,782.69","1,782.69","1,782.69",0
"Monday, December 11, 1995","1,782.04","1,782.04","1,782.04","1,782.04",0
"Friday, December 08, 1995","1,773.88","1,773.88","1,773.88","1,773.88",0
"Thursday, December 07, 1995","1,779.24","1,779.24","1,779.24","1,779.24",0
"Wednesday, December 06, 1995","1,788.24","1,788.24","1,788.24","1,788.24",0
"Tuesday, December 05, 1995","1,789.84","1,789.84","1,789.84","1,789.84",0
"Monday, December 04, 1995","1,791.78","1,791.78","1,791.78","1,791.78",0
"Friday, December 01, 1995","1,794.95","1,794.95","1,794.95","1,794.95",0
"Thursday, November 30, 1995","1,788.60","1,788.60","1,788.60","1,788.60",0
"Wednesday, November 29, 1995","1,784.61","1,784.61","1,784.61","1,784.61",0
"Tuesday, November 28, 1995","1,781.41","1,781.41","1,781.41","1,781.41",0
"Monday, November 27, 1995","1,781.79","1,781.79","1,781.79","1,781.79",0
"Friday, November 24, 1995","1,772.82","1,772.82","1,772.82","1,772.82",0
"Thursday, November 23, 1995","1,764.38","1,764.38","1,764.38","1,764.38",0
"Wednesday, November 22, 1995","1,776.60","1,776.60","1,776.60","1,776.60",0
"Tuesday, November 21, 1995","1,765.73","1,765.73","1,765.73","1,765.73",0
"Monday, November 20, 1995","1,776.97","1,776.97","1,776.97","1,776.97",0
"Friday, November 17, 1995","1,769.50","1,769.50","1,769.50","1,769.50",0
"Thursday, November 16, 1995","1,769.35","1,769.35","1,769.35","1,769.35",0
"Wednesday, November 15, 1995","1,751.46","1,751.46","1,751.46","1,751.46",0
"Tuesday, November 14, 1995","1,741.55","1,741.55","1,741.55","1,741.55",0
"Monday, November 13, 1995","1,736.92","1,736.92","1,736.92","1,736.92",0
"Friday, November 10, 1995","1,732.39","1,732.39","1,732.39","1,732.39",0
"Thursday, November 09, 1995","1,739.53","1,739.53","1,739.53","1,739.53",0
"Wednesday, November 08, 1995","1,737.91","1,737.91","1,737.91","1,737.91",0
"Tuesday, November 07, 1995","1,731.45","1,731.45","1,731.45","1,731.45",0
"Monday, November 06, 1995","1,728.27","1,728.27","1,728.27","1,728.27",0
"Friday, November 03, 1995","1,721.98","1,721.98","1,721.98","1,721.98",0
"Thursday, November 02, 1995","1,730.99","1,730.99","1,730.99","1,730.99",0
"Wednesday, November 01, 1995","1,729.55","1,729.55","1,729.55","1,729.55",0
"Tuesday, October 31, 1995","1,734.14","1,734.14","1,734.14","1,734.14",0
"Monday, October 30, 1995","1,726.29","1,726.29","1,726.29","1,726.29",0
"Friday, October 27, 1995","1,720.27","1,720.27","1,720.27","1,720.27",0
"Thursday, October 26, 1995","1,730.57","1,730.57","1,730.57","1,730.57",0
"Wednesday, October 25, 1995","1,739.35","1,739.35","1,739.35","1,739.35",0
"Tuesday, October 24, 1995","1,738.30","1,738.30","1,738.30","1,738.30",0
"Monday, October 23, 1995","1,737.81","1,737.81","1,737.81","1,737.81",0
"Friday, October 20, 1995","1,747.78","1,747.78","1,747.78","1,747.78",0
"Thursday, October 19, 1995","1,757.31","1,757.31","1,757.31","1,757.31",0
"Wednesday, October 18, 1995","1,762.78","1,762.78","1,762.78","1,762.78",0
"Tuesday, October 17, 1995","1,751.32","1,751.32","1,751.32","1,751.32",0
"Monday, October 16, 1995","1,749.74","1,749.74","1,749.74","1,749.74",0
"Friday, October 13, 1995","1,754.15","1,754.15","1,754.15","1,754.15",0
"Thursday, October 12, 1995","1,737.42","1,737.42","1,737.42","1,737.42",0
"Wednesday, October 11, 1995","1,718.30","1,718.30","1,718.30","1,718.30",0
"Tuesday, October 10, 1995","1,711.85","1,711.85","1,711.85","1,711.85",0
"Monday, October 09, 1995","1,735.05","1,735.05","1,735.05","1,735.05",0
"Friday, October 06, 1995","1,743.38","1,743.38","1,743.38","1,743.38",0
"Thursday, October 05, 1995","1,750.75","1,750.75","1,750.75","1,750.75",0
"Wednesday, October 04, 1995","1,749.84","1,749.84","1,749.84","1,749.84",0
"Tuesday, October 03, 1995","1,741.28","1,741.28","1,741.28","1,741.28",0
"Monday, October 02, 1995","1,738.89","1,738.89","1,738.89","1,738.89",0
"Friday, September 29, 1995","1,733.73","1,733.73","1,733.73","1,733.73",0
"Thursday, September 28, 1995","1,720.19","1,720.19","1,720.19","1,720.19",0
"Wednesday, September 27, 1995","1,722.00","1,722.00","1,722.00","1,722.00",0
"Tuesday, September 26, 1995","1,737.86","1,737.86","1,737.86","1,737.86",0
"Monday, September 25, 1995","1,730.61","1,730.61","1,730.61","1,730.61",0
"Friday, September 22, 1995","1,734.31","1,734.31","1,734.31","1,734.31",0
"Thursday, September 21, 1995","1,752.43","1,752.43","1,752.43","1,752.43",0
"Wednesday, September 20, 1995","1,753.49","1,753.49","1,753.49","1,753.49",0
"Tuesday, September 19, 1995","1,745.60","1,745.60","1,745.60","1,745.60",0
"Monday, September 18, 1995","1,743.15","1,743.15","1,743.15","1,743.15",0
"Friday, September 15, 1995","1,755.75","1,755.75","1,755.75","1,755.75",0
"Thursday, September 14, 1995","1,755.70","1,755.70","1,755.70","1,755.70",0
"Wednesday, September 13, 1995","1,757.58","1,757.58","1,757.58","1,757.58",0
"Tuesday, September 12, 1995","1,744.51","1,744.51","1,744.51","1,744.51",0
"Monday, September 11, 1995","1,751.47","1,751.47","1,751.47","1,751.47",0
"Friday, September 08, 1995","1,754.26","1,754.26","1,754.26","1,754.26",0
"Thursday, September 07, 1995","1,749.61","1,749.61","1,749.61","1,749.61",0
"Wednesday, September 06, 1995","1,752.42","1,752.42","1,752.42","1,752.42",0
"Tuesday, September 05, 1995","1,742.82","1,742.82","1,742.82","1,742.82",0
"Monday, September 04, 1995","1,738.50","1,738.50","1,738.50","1,738.50",0
"Friday, September 01, 1995","1,732.47","1,732.47","1,732.47","1,732.47",0
"Thursday, August 31, 1995","1,719.44","1,719.44","1,719.44","1,719.44",0
"Wednesday, August 30, 1995","1,728.20","1,728.20","1,728.20","1,728.20",0
"Tuesday, August 29, 1995","1,727.49","1,727.49","1,727.49","1,727.49",0
"Friday, August 25, 1995","1,735.64","1,735.64","1,735.64","1,735.64",0
"Thursday, August 24, 1995","1,733.08","1,733.08","1,733.08","1,733.08",0
"Wednesday, August 23, 1995","1,731.83","1,731.83","1,731.83","1,731.83",0
"Tuesday, August 22, 1995","1,736.87","1,736.87","1,736.87","1,736.87",0
"Monday, August 21, 1995","1,738.53","1,738.53","1,738.53","1,738.53",0
"Friday, August 18, 1995","1,728.26","1,728.26","1,728.26","1,728.26",0
"Thursday, August 17, 1995","1,711.73","1,711.73","1,711.73","1,711.73",0
"Wednesday, August 16, 1995","1,708.94","1,708.94","1,708.94","1,708.94",0
"Tuesday, August 15, 1995","1,700.51","1,700.51","1,700.51","1,700.51",0
"Monday, August 14, 1995","1,699.20","1,699.20","1,699.20","1,699.20",0
"Friday, August 11, 1995","1,709.96","1,709.96","1,709.96","1,709.96",0
"Thursday, August 10, 1995","1,712.16","1,712.16","1,712.16","1,712.16",0
"Wednesday, August 09, 1995","1,709.33","1,709.33","1,709.33","1,709.33",0
"Tuesday, August 08, 1995","1,709.28","1,709.28","1,709.28","1,709.28",0
"Monday, August 07, 1995","1,715.47","1,715.47","1,715.47","1,715.47",0
"Friday, August 04, 1995","1,715.12","1,715.12","1,715.12","1,715.12",0
"Thursday, August 03, 1995","1,710.78","1,710.78","1,710.78","1,710.78",0
"Wednesday, August 02, 1995","1,719.04","1,719.04","1,719.04","1,719.04",0
"Tuesday, August 01, 1995","1,698.01","1,698.01","1,698.01","1,698.01",0
"Monday, July 31, 1995","1,703.02","1,703.02","1,703.02","1,703.02",0
"Friday, July 28, 1995","1,704.53","1,704.53","1,704.53","1,704.53",0
"Thursday, July 27, 1995","1,699.83","1,699.83","1,699.83","1,699.83",0
"Wednesday, July 26, 1995","1,698.31","1,698.31","1,698.31","1,698.31",0
"Tuesday, July 25, 1995","1,689.31","1,689.31","1,689.31","1,689.31",0
"Monday, July 24, 1995","1,687.82","1,687.82","1,687.82","1,687.82",0
"Friday, July 21, 1995","1,678.82","1,678.82","1,678.82","1,678.82",0
"Thursday, July 20, 1995","1,672.51","1,672.51","1,672.51","1,672.51",0
"Wednesday, July 19, 1995","1,674.67","1,674.67","1,674.67","1,674.67",0
"Tuesday, July 18, 1995","1,681.08","1,681.08","1,681.08","1,681.08",0
"Monday, July 17, 1995","1,688.76","1,688.76","1,688.76","1,688.76",0
"Friday, July 14, 1995","1,683.02","1,683.02","1,683.02","1,683.02",0
"Thursday, July 13, 1995","1,689.68","1,689.68","1,689.68","1,689.68",0
"Wednesday, July 12, 1995","1,689.37","1,689.37","1,689.37","1,689.37",0
"Tuesday, July 11, 1995","1,694.30","1,694.30","1,694.30","1,694.30",0
"Monday, July 10, 1995","1,689.97","1,689.97","1,689.97","1,689.97",0
"Friday, July 07, 1995","1,690.59","1,690.59","1,690.59","1,690.59",0
"Thursday, July 06, 1995","1,658.02","1,658.02","1,658.02","1,658.02",0
"Wednesday, July 05, 1995","1,657.62","1,657.62","1,657.62","1,657.62",0
"Tuesday, July 04, 1995","1,638.36","1,638.36","1,638.36","1,638.36",0
"Monday, July 03, 1995","1,627.28","1,627.28","1,627.28","1,627.28",0
"Friday, June 30, 1995","1,623.51","1,623.51","1,623.51","1,623.51",0
"Thursday, June 29, 1995","1,616.23","1,616.23","1,616.23","1,616.23",0
"Wednesday, June 28, 1995","1,611.88","1,611.88","1,611.88","1,611.88",0
"Tuesday, June 27, 1995","1,625.40","1,625.40","1,625.40","1,625.40",0
"Monday, June 26, 1995","1,625.33","1,625.33","1,625.33","1,625.33",0
"Friday, June 23, 1995","1,653.92","1,653.92","1,653.92","1,653.92",0
"Thursday, June 22, 1995","1,663.55","1,663.55","1,663.55","1,663.55",0
"Wednesday, June 21, 1995","1,653.19","1,653.19","1,653.19","1,653.19",0
"Tuesday, June 20, 1995","1,652.74","1,652.74","1,652.74","1,652.74",0
"Monday, June 19, 1995","1,654.20","1,654.20","1,654.20","1,654.20",0
"Friday, June 16, 1995","1,649.04","1,649.04","1,649.04","1,649.04",0
"Thursday, June 15, 1995","1,650.69","1,650.69","1,650.69","1,650.69",0
"Wednesday, June 14, 1995","1,639.17","1,639.17","1,639.17","1,639.17",0
"Tuesday, June 13, 1995","1,642.51","1,642.51","1,642.51","1,642.51",0
"Monday, June 12, 1995","1,641.65","1,641.65","1,641.65","1,641.65",0
"Friday, June 09, 1995","1,641.32","1,641.32","1,641.32","1,641.32",0
"Thursday, June 08, 1995","1,658.48","1,658.48","1,658.48","1,658.48",0
"Wednesday, June 07, 1995","1,654.84","1,654.84","1,654.84","1,654.84",0
"Tuesday, June 06, 1995","1,658.74","1,658.74","1,658.74","1,658.74",0
"Monday, June 05, 1995","1,656.47","1,656.47","1,656.47","1,656.47",0
"Friday, June 02, 1995","1,643.87","1,643.87","1,643.87","1,643.87",0
"Thursday, June 01, 1995","1,642.33","1,642.33","1,642.33","1,642.33",0
