Date,Open,High,Low,Close,Volume
"Wednesday, December 30, 1998","2,694.45","2,696.00","2,647.51","2,673.92",0
"Tuesday, December 29, 1998","2,664.03","2,702.68","2,664.03","2,693.98",0
"Thursday, December 24, 1998","2,677.81","2,678.83","2,663.74","2,663.74",0
"Wednesday, December 23, 1998","2,649.94","2,677.23","2,647.25","2,677.23",0
"Tuesday, December 22, 1998","2,659.84","2,666.32","2,643.10","2,649.67",0
"Monday, December 21, 1998","2,607.74","2,664.17","2,604.60","2,659.59",0
"Friday, December 18, 1998","2,585.20","2,616.50","2,581.71","2,607.39",0
"Thursday, December 17, 1998","2,564.32","2,585.21","2,551.47","2,585.21",0
"Wednesday, December 16, 1998","2,537.07","2,566.38","2,536.58","2,564.54",0
"Tuesday, December 15, 1998","2,530.68","2,537.12","2,521.88","2,536.79",0
"Monday, December 14, 1998","2,535.48","2,535.52","2,509.32","2,530.81",0
"Friday, December 11, 1998","2,582.34","2,582.34","2,528.41","2,536.27",0
"Thursday, December 10, 1998","2,586.41","2,602.86","2,566.56","2,583.58",0
"Wednesday, December 09, 1998","2,565.42","2,593.81","2,550.17","2,586.42",0
"Tuesday, December 08, 1998","2,550.83","2,573.99","2,550.83","2,565.57",0
"Monday, December 07, 1998","2,553.32","2,569.40","2,549.97","2,550.84",0
"Friday, December 04, 1998","2,546.87","2,562.81","2,519.16","2,552.43",0
"Thursday, December 03, 1998","2,529.30","2,558.64","2,480.68","2,547.35",0
"Wednesday, December 02, 1998","2,544.13","2,553.93","2,525.16","2,530.80",0
"Tuesday, December 01, 1998","2,624.75","2,624.75","2,537.61","2,543.41",0
"Monday, November 30, 1998","2,664.98","2,673.07","2,626.86","2,626.86",0
"Friday, November 27, 1998","2,660.72","2,675.36","2,638.32","2,665.80",0
"Thursday, November 26, 1998","2,633.09","2,670.16","2,629.00","2,660.89",0
"Wednesday, November 25, 1998","2,648.56","2,662.57","2,624.63","2,632.91",0
"Tuesday, November 24, 1998","2,665.77","2,678.88","2,639.56","2,648.51",0
"Monday, November 23, 1998","2,613.05","2,666.67","2,613.05","2,664.60",0
"Friday, November 20, 1998","2,567.59","2,623.22","2,567.59","2,611.65",0
"Thursday, November 19, 1998","2,517.51","2,570.30","2,515.09","2,567.36",0
"Wednesday, November 18, 1998","2,530.49","2,549.19","2,515.31","2,517.70",0
"Tuesday, November 17, 1998","2,536.14","2,554.53","2,529.52","2,531.00",0
"Monday, November 16, 1998","2,519.01","2,547.48","2,519.01","2,536.44",0
"Friday, November 13, 1998","2,514.98","2,518.44","2,485.60","2,518.44",0
"Thursday, November 12, 1998","2,526.39","2,526.39","2,498.64","2,514.73",0
"Wednesday, November 11, 1998","2,511.03","2,542.85","2,511.03","2,527.38",0
"Tuesday, November 10, 1998","2,516.02","2,516.02","2,487.61","2,510.78",0
"Monday, November 09, 1998","2,538.34","2,544.13","2,504.32","2,516.81",0
"Friday, November 06, 1998","2,532.99","2,569.60","2,526.75","2,538.22",0
"Thursday, November 05, 1998","2,588.33","2,588.75","2,529.09","2,532.70",0
"Wednesday, November 04, 1998","2,540.17","2,596.41","2,540.17","2,588.70",0
"Tuesday, November 03, 1998","2,544.92","2,562.46","2,528.13","2,539.26",0
"Monday, November 02, 1998","2,505.48","2,557.42","2,505.48","2,544.34",0
"Friday, October 30, 1998","2,468.72","2,509.80","2,468.72","2,504.85",0
"Thursday, October 29, 1998","2,441.61","2,467.73","2,436.40","2,467.29",0
"Wednesday, October 28, 1998","2,454.97","2,454.97","2,420.97","2,441.84",0
"Tuesday, October 27, 1998","2,414.33","2,469.71","2,414.33","2,455.24",0
"Monday, October 26, 1998","2,406.93","2,446.83","2,406.58","2,413.62",0
"Friday, October 23, 1998","2,412.14","2,415.54","2,386.15","2,406.90",0
"Thursday, October 22, 1998","2,401.54","2,422.45","2,401.45","2,411.73",0
"Wednesday, October 21, 1998","2,417.26","2,428.27","2,400.55","2,401.61",0
"Tuesday, October 20, 1998","2,348.16","2,422.25","2,346.73","2,417.17",0
"Monday, October 19, 1998","2,367.55","2,367.80","2,339.56","2,348.10",0
"Friday, October 16, 1998","2,335.50","2,394.29","2,335.50","2,366.85",0
"Thursday, October 15, 1998","2,315.99","2,349.59","2,310.68","2,328.39",0
"Wednesday, October 14, 1998","2,295.76","2,319.94","2,276.02","2,315.42",0
"Tuesday, October 13, 1998","2,311.46","2,318.16","2,282.34","2,296.26",0
"Monday, October 12, 1998","2,228.63","2,313.69","2,228.63","2,311.66",0
"Friday, October 09, 1998","2,178.60","2,226.45","2,178.53","2,226.45",0
"Thursday, October 08, 1998","2,235.21","2,235.93","2,143.53","2,178.23",0
"Wednesday, October 07, 1998","2,247.97","2,283.17","2,218.22","2,236.36",0
"Tuesday, October 06, 1998","2,165.90","2,250.03","2,165.90","2,246.79",0
"Monday, October 05, 1998","2,207.72","2,217.36","2,164.99","2,166.07",0
"Friday, October 02, 1998","2,276.20","2,276.20","2,200.91","2,209.28",0
"Thursday, October 01, 1998","2,342.48","2,342.48","2,267.81","2,277.32",0
"Wednesday, September 30, 1998","2,362.37","2,364.30","2,323.74","2,344.82",0
"Tuesday, September 29, 1998","2,357.23","2,363.01","2,338.76","2,363.01",0
"Monday, September 28, 1998","2,344.08","2,358.17","2,330.05","2,357.15",0
"Friday, September 25, 1998","2,386.10","2,386.10","2,327.64","2,343.85",0
"Thursday, September 24, 1998","2,405.94","2,445.84","2,386.06","2,388.23",0
"Wednesday, September 23, 1998","2,363.55","2,405.55","2,363.55","2,403.97",0
