Date,Open,High,Low,Close
12/29/1995,"3,689.30","3,689.30","3,689.30","3,689.30"
12/28/1995,"3,676.70","3,676.70","3,676.70","3,676.70"
12/27/1995,"3,676.40","3,676.40","3,676.40","3,676.40"
12/22/1995,"3,658.30","3,658.34","3,658.34","3,658.30"
12/21/1995,"3,633.30","3,633.30","3,633.30","3,633.30"
12/20/1995,"3,613.70","3,613.69","3,613.69","3,613.70"
12/19/1995,"3,576.90","3,576.90","3,576.90","3,576.90"
12/18/1995,"3,596.10","3,596.07","3,596.07","3,596.10"
12/15/1995,"3,642.60","3,642.60","3,642.60","3,642.60"
12/14/1995,"3,671.60","3,671.60","3,671.60","3,671.60"
12/13/1995,"3,662.40","3,662.40","3,662.40","3,662.40"
12/12/1995,"3,654.90","3,654.90","3,654.90","3,654.90"
12/11/1995,"3,652.10","3,652.10","3,652.10","3,652.10"
12/08/1995,"3,630.00","3,630.00","3,630.00","3,630.00"
12/07/1995,"3,639.50","3,639.49","3,639.49","3,639.50"
12/06/1995,"3,662.80","3,662.77","3,662.77","3,662.80"
12/05/1995,"3,664.20","3,664.25","3,664.25","3,664.20"
12/04/1995,"3,669.70","3,669.70","3,669.70","3,669.70"
12/01/1995,"3,680.40","3,680.41","3,680.41","3,680.40"
11/30/1995,"3,664.30","3,664.32","3,664.32","3,664.30"
11/29/1995,"3,655.50","3,655.52","3,655.52","3,655.50"
11/28/1995,"3,648.80","3,648.85","3,648.85","3,648.80"
11/27/1995,"3,649.00","3,648.99","3,648.99","3,649.00"
11/24/1995,"3,624.00","3,624.00","3,624.00","3,624.00"
11/23/1995,"3,602.50","3,602.50","3,602.50","3,602.50"
11/22/1995,"3,632.40","3,632.40","3,632.40","3,632.40"
11/21/1995,"3,604.10","3,604.07","3,604.07","3,604.10"
11/20/1995,"3,628.80","3,628.76","3,628.76","3,628.80"
11/17/1995,"3,609.20","3,609.18","3,609.18","3,609.20"
11/16/1995,"3,610.80","3,610.80","3,610.80","3,610.80"
11/15/1995,"3,571.40","3,571.43","3,571.43","3,571.40"
11/14/1995,"3,547.90","3,547.94","3,547.94","3,547.90"
11/13/1995,"3,536.80","3,536.82","3,536.82","3,536.80"
11/10/1995,"3,523.40","3,523.42","3,523.42","3,523.40"
11/09/1995,"3,541.60","3,541.64","3,541.64","3,541.60"
